new_UID,rowid_orig_pull,name,address,type,subtype,note_from_open_streetmap_pull,date_pulled,date_validated,X,Y,RFEI
8678,3843,IGA,NA,supermarket,large,7527030029,2024-06-20,june_july_2024,-73.902131,45.563597,healthy
3739,3844,IGA,NA,supermarket,large,7896793083,2024-06-20,june_july_2024,-74.1866966,45.0924877,healthy
3221,3845,IGA,NA,supermarket,large,8063313601,2024-06-20,june_july_2024,-73.961402,45.3868481,healthy
1371,3846,IGA,NA,supermarket,large,8766228424,2024-06-20,june_july_2024,-74.6470725,44.9666615,healthy
7019,3847,IGA,NA,supermarket,large,9685385603,2024-06-20,june_july_2024,-73.9215645,45.6986191,healthy
8982,3848,IGA,NA,supermarket,large,10729751544,2024-06-20,june_july_2024,-73.7857408,45.5934208,healthy
6879,3849,IGA,5680 Boulevard des Laurentides H7K 2K2,supermarket,large,11931914190,2024-06-20,june_july_2024,-73.7530393,45.6282351,healthy
5888,3850,IGA,NA,supermarket,large,11948454521,2024-06-20,june_july_2024,-73.7621386,45.6650331,healthy
9046,3851,IGA,"27 Elm Street, Potsdam 13676",supermarket,large,54672997,2024-06-20,june_july_2024,-74.98422251,44.66947594,healthy
6565,3852,IGA,"201 Chemin d'Aylmer, Gatineau J8T 1R2",supermarket,large,68609556,2024-06-20,june_july_2024,-75.83391133,45.39654489,healthy
3947,3853,IGA,"1205 Rue de Neuville, Gatineau J8M 1W2",supermarket,large,88313290,2024-06-20,june_july_2024,-75.49523619,45.53158409,healthy
9019,3854,IGA,720 Montee Paiement J8R 4A3,supermarket,large,117885572,2024-06-20,june_july_2024,-75.67522295,45.50403902,healthy
6942,3855,IGA,425 Boulevard Saint-Joseph,supermarket,large,140703352,2024-06-20,june_july_2024,-75.7335537,45.44654585,healthy
1137,3856,IGA,NA,supermarket,large,154557931,2024-06-20,june_july_2024,-73.82546903,45.62640028,healthy
8491,3857,IGA,455 Boulevard Greber J8T 5T7,supermarket,large,163102551,2024-06-20,june_july_2024,-75.70111673,45.48728704,healthy
9491,3858,IGA,NA,supermarket,large,188122662,2024-06-20,june_july_2024,-74.19429537,45.27409269,healthy
6183,3859,IGA,NA,supermarket,large,234000786,2024-06-20,june_july_2024,-75.43376403,45.55587072,healthy
2728,3860,IGA,"203 Boulevard des Grives, Gatineau J9A 0C7",supermarket,large,278280963,2024-06-20,june_july_2024,-75.7791998,45.43206271,healthy
9691,3861,IGA,NA,supermarket,large,296113589,2024-06-20,june_july_2024,-74.32713128,45.64109151,healthy
3430,3862,IGA,455 Montee de la Source J8V 3B5,supermarket,large,624881290,2024-06-20,june_july_2024,-75.77398203,45.54069826,healthy
3681,3863,IGA,NA,supermarket,large,1028815128,2024-06-20,june_july_2024,-75.89897129,45.59760587,healthy
3540,3868,IGA Extra,NA,supermarket,large,1746180633,2024-06-20,june_july_2024,-73.8158094,45.6433974,healthy
2540,3869,IGA Extra,NA,supermarket,large,4412467607,2024-06-20,june_july_2024,-74.1458713,45.8984826,healthy
9607,3870,IGA Extra,"249 Boulevard Harwood, Vaudreuil-Dorion J7V 1Y3",supermarket,large,7379618996,2024-06-20,june_july_2024,-74.0151461,45.382736,healthy
8185,3871,IGA Extra,"1005 Boulevard du Grand Heron, Saint-Jerôme J7Y 3P2",supermarket,large,7406137755,2024-06-20,june_july_2024,-74.0152896,45.7609631,healthy
1906,3872,IGA Extra,NA,supermarket,large,11537466458,2024-06-20,june_july_2024,-73.7834889,45.5252042,healthy
6217,3873,IGA Extra,"1130 Boulevard Saint-Joseph, Gatineau J8Z 1T3",supermarket,large,192000674,2024-06-20,june_july_2024,-75.7379995,45.47243057,healthy
2060,3874,IGA Extra,NA,supermarket,large,204262316,2024-06-20,june_july_2024,-74.13111035,45.26874992,healthy
