DBUID,dbpop2021,lon,lat,ONS_ID,ONS_Name,ONS_Region,rurality,num_unhealthy,num_healthy,costing,distance
35090200008,46,-76.01628941816377,44.88793499523191,3408,Smiths Falls,Lanark,town,7,4,auto,10
35090162002,80,-76.32467179054528,44.921923719050106,3409,Tay Valley,Lanark,rural,7,3,auto,15
35090200009,44,-76.01576637646323,44.88710303525137,3408,Smiths Falls,Lanark,town,7,4,auto,10
35090182007,23,-76.09917290061726,44.90135311868087,3403,Drummond/North Elmsley,Lanark,rural,17,7,auto,15
35090202010,41,-76.02407599156743,44.88729988081032,3408,Smiths Falls,Lanark,town,7,4,auto,10
35090182008,42,-76.10210191550091,44.90128118729799,3403,Drummond/North Elmsley,Lanark,rural,17,7,auto,15
35090201006,157,-76.01839098293469,44.88487695906684,3408,Smiths Falls,Lanark,town,7,4,auto,10
35090158003,10,-76.44817444666229,44.95544569722503,3404,Lanark Highlands,Lanark,rural,2,0,auto,15
35090202005,47,-76.01966338518935,44.88525740642886,3408,Smiths Falls,Lanark,town,7,4,auto,10
35090159009,10,-76.36883780894836,44.94450975564423,3409,Tay Valley,Lanark,rural,9,3,auto,15
35090162003,79,-76.31294092362477,44.912570840966474,3409,Tay Valley,Lanark,rural,10,3,auto,15
35060835005,57,-75.67367880178139,45.22420529857095,3070,MANOTICK,OTTAWA,rural,48,18,auto,15
35060836001,31,-75.68522555213696,45.227149979309814,3070,MANOTICK,OTTAWA,rural,61,21,auto,15
35060835007,78,-75.67666479394288,45.22465878637079,3070,MANOTICK,OTTAWA,rural,53,18,auto,15
35060836003,5,-75.68349911135043,45.22559473804258,3070,MANOTICK,OTTAWA,rural,58,20,auto,15
35060836004,21,-75.68333601228213,45.22565884553174,3070,MANOTICK,OTTAWA,rural,57,20,auto,15
35060837001,18,-75.69607093749022,45.22386765209737,3070,MANOTICK,OTTAWA,rural,54,17,auto,15
35060836009,5,-75.6852536175641,45.225857201436085,3070,MANOTICK,OTTAWA,rural,58,23,auto,15
35060836005,20,-75.68271833656198,45.22510380278311,3070,MANOTICK,OTTAWA,rural,58,20,auto,15
35060835006,32,-75.67204217269885,45.2226784015973,3070,MANOTICK,OTTAWA,rural,45,17,auto,15
35061680007,39,-75.8438843079253,45.24349935054916,3074,RICHMOND,OTTAWA,rural,107,52,auto,15
35060836012,71,-75.6912082647973,45.223779696174056,3070,MANOTICK,OTTAWA,rural,54,18,auto,15
35060836011,27,-75.68797965635684,45.22393754228265,3070,MANOTICK,OTTAWA,rural,58,20,auto,15
35060837003,122,-75.69059020598623,45.220750086570305,3070,MANOTICK,OTTAWA,rural,47,17,auto,15
35061680008,16,-75.80873565832331,45.24061873166546,3074,RICHMOND,OTTAWA,rural,102,49,auto,15
35061473012,153,-75.5980632782052,45.183307011120206,3086,OSGOODE - VERNON,OTTAWA,rural,8,1,auto,15
35060834004,26,-75.67088539553203,45.21882449937391,3070,MANOTICK,OTTAWA,rural,46,16,auto,15
